name,Famous_for,Address,Hear_the_story,latitude,longitude,DIID
Hampton Court  ,temp,temp,,51.404282,-0.337719,
Harewood house,temp,temp,,53.897573,-1.527314,
Blenheim palace,temp,temp,,51.842028,-1.361101,
Coombe Abbey Country Park,temp,temp,,52.410443,-1.417692,
Royal Botanical Gardens,temp,temp,,51.478396,-0.290809,
Trentham estate,temp,temp,,52.96451,-2.196934,
Warwick Castle,temp,temp,,52.279938,-1.585279,
Weston Park,temp,temp,,52.818946,-2.270413,
Wimpole Estate,temp,temp,,52.141509,-0.049825,
Ashburnham Place,temp,temp,,50.90619,0.402636,
Ashridge Estate,temp,temp,,51.807655,-0.593602,
Belvoir Castle,temp,temp,,52.895445,-0.782428,
Berrington Hall,temp,temp,,52.269191,-2.720657,
Castle Ashby Gardens,temp,temp,,52.220714,-0.740475,
Syon Park,temp,temp,,51.477933,-0.313275,
Woodchester Park,temp,temp,,51.712375,-2.295507,
Bowood House,temp,temp,,51.428247,-2.038469,
Lowther Castle and Gardens,temp,temp,,54.608614,-2.742048,
Wrest Park,temp,temp,,52.008343,-0.412285,
Alnwick Castle,temp,temp,,55.416167,-1.70592,
Charlecote Park,temp,temp,,52.20568,-1.622179,
Corsham Court,temp,temp,,51.437585,-2.18263,
Croome Court,temp,temp,,52.10524,-2.166295,
Dinefwr,temp,temp,,51.884677,-4.014816,
Footscray Meadows,temp,temp,,51.425508,0.11872,
Gatton Park,temp,temp,,51.260384,-0.172716,
Stowe,temp,temp,,52.028315,-1.01559,
Audley End,temp,temp,,52.02095,0.22059,
Burghley,temp,temp,,52.643118,-0.452574,
Burton Constable,temp,temp,,53.815896,-0.195608,
Cardiff Castle,temp,temp,,51.482872,-3.181134,
Chatsworth House,temp,temp,,53.228184,-1.611523,
Compton Verney,temp,temp,,52.173776,-1.546813,
Grimsthorpe Castle,temp,temp,,52.793658,-0.452624,
Petworth House,temp,temp,,50.988133,-0.611358,
Sherborne Castle,temp,temp,,50.946189,-2.500648,
Temple Newsam,temp,temp,,53.784546,-1.459742,
